timestamp,can_id,can_id_hex,ecu_name,dlc,payload_hex,delta_t,global_delta_t,entropy,byte_0,byte_1,byte_2,byte_3,byte_4,byte_5,byte_6,byte_7,decoded_summary,label
1000000.000000,160,0x0A0,Brake/ABS ECU,6,000000000000,0.000000,0.000000,0.0000,0,0,0,0,0,0,0,0,brake_pct=0; abs_active=False; wheel_speeds=[0,0,0,0],NORMAL
1000000.080000,160,0x0A0,Brake/ABS ECU,6,000004040303,0.010000,0.010000,1.4591,0,0,4,4,3,3,0,0,brake_pct=0; abs_active=False; wheel_speeds=[4,4,3,3],NORMAL
1000000.080000,272,0x110,Engine RPM ECU,4,05762D01,0.020000,0.000000,2.0000,5,118,45,1,0,0,0,0,rpm=1398; throttle_pct=45; engine_status=RUNNING,NORMAL
1000000.090000,160,0x0A0,Brake/ABS ECU,6,000004040303,0.010000,0.010000,1.4591,0,0,4,4,3,3,0,0,brake_pct=0; abs_active=False; wheel_speeds=[4,4,3,3],NORMAL
1000000.100000,160,0x0A0,Brake/ABS ECU,6,000005050404,0.010000,0.010000,1.4591,0,0,5,5,4,4,0,0,brake_pct=0; abs_active=False; wheel_speeds=[5,5,4,4],NORMAL
1000000.100000,272,0x110,Engine RPM ECU,4,05AA2F01,0.020000,0.000000,2.0000,5,170,47,1,0,0,0,0,rpm=1450; throttle_pct=47; engine_status=RUNNING,NORMAL
1000000.100000,288,0x120,Speedometer ECU,4,01F4004A,0.050000,0.000000,1.5000,1,244,0,74,0,0,0,0,speed_kmh=5.0,NORMAL
1000000.100000,384,0x180,Transmission ECU,5,0100A50100,0.050000,0.000000,1.3710,1,0,165,1,0,0,0,0,gear=G1; torque_nm=165; clutch=ENGAGED,NORMAL
1000000.100000,304,0x130,Coolant/Oil Temp ECU,3,554200,0.100000,0.000000,1.5850,85,66,0,0,0,0,0,0,coolant_temp_c=45; oil_pressure_bar=6.6,NORMAL
1000000.100000,560,0x230,Body Doors ECU,4,FF000100,0.100000,0.000000,1.5000,255,0,1,0,0,0,0,0,doors_locked=True; driver_seatbelt=True,NORMAL
1000000.100000,624,0x270,Lighting/Signals ECU,2,0100,0.100000,0.000000,1.0000,1,0,0,0,0,0,0,0,headlights=ON; turn_signal=NONE,NORMAL
1000000.110000,160,0x0A0,Brake/ABS ECU,6,000005050404,0.010000,0.010000,1.4591,0,0,5,5,4,4,0,0,brake_pct=0; abs_active=False; wheel_speeds=[5,5,4,4],NORMAL
1000000.120000,160,0x0A0,Brake/ABS ECU,6,000006060505,0.010000,0.010000,1.4591,0,0,6,6,5,5,0,0,brake_pct=0; abs_active=False; wheel_speeds=[6,6,5,5],NORMAL
1000000.120000,272,0x110,Engine RPM ECU,4,05DE3101,0.020000,0.000000,2.0000,5,222,49,1,0,0,0,0,rpm=1502; throttle_pct=49; engine_status=RUNNING,NORMAL
1000000.130000,160,0x0A0,Brake/ABS ECU,6,000006060505,0.010000,0.010000,1.4591,0,0,6,6,5,5,0,0,brake_pct=0; abs_active=False; wheel_speeds=[6,6,5,5],NORMAL
1000000.140000,160,0x0A0,Brake/ABS ECU,6,000007070606,0.010000,0.010000,1.4591,0,0,7,7,6,6,0,0,brake_pct=0; abs_active=False; wheel_speeds=[7,7,6,6],NORMAL
1000000.140000,272,0x110,Engine RPM ECU,4,06113201,0.020000,0.000000,2.0000,6,17,50,1,0,0,0,0,rpm=1553; throttle_pct=50; engine_status=RUNNING,NORMAL
1000000.150000,160,0x0A0,Brake/ABS ECU,6,000007070606,0.010000,0.010000,1.4591,0,0,7,7,6,6,0,0,brake_pct=0; abs_active=False; wheel_speeds=[7,7,6,6],NORMAL
1000000.150000,288,0x120,Speedometer ECU,4,02EE004A,0.050000,0.000000,1.5000,2,238,0,74,0,0,0,0,speed_kmh=7.5,NORMAL
1000000.150000,384,0x180,Transmission ECU,5,0100AF0100,0.050000,0.000000,1.3710,1,0,175,1,0,0,0,0,gear=G1; torque_nm=175; clutch=ENGAGED,NORMAL
1000000.160000,160,0x0A0,Brake/ABS ECU,6,000008080707,0.010000,0.010000,1.4591,0,0,8,8,7,7,0,0,brake_pct=0; abs_active=False; wheel_speeds=[8,8,7,7],NORMAL
1000000.160000,272,0x110,Engine RPM ECU,4,06453401,0.020000,0.000000,2.0000,6,69,52,1,0,0,0,0,rpm=1605; throttle_pct=52; engine_status=RUNNING,NORMAL
1000000.170000,160,0x0A0,Brake/ABS ECU,6,000008080707,0.010000,0.010000,1.4591,0,0,8,8,7,7,0,0,brake_pct=0; abs_active=False; wheel_speeds=[8,8,7,7],NORMAL
1000000.180000,160,0x0A0,Brake/ABS ECU,6,000009090808,0.010000,0.010000,1.4591,0,0,9,9,8,8,0,0,brake_pct=0; abs_active=False; wheel_speeds=[9,9,8,8],NORMAL
1000000.180000,272,0x110,Engine RPM ECU,4,06783601,0.020000,0.000000,2.0000,6,120,54,1,0,0,0,0,rpm=1656; throttle_pct=54; engine_status=RUNNING,NORMAL
1000000.190000,160,0x0A0,Brake/ABS ECU,6,000009090808,0.010000,0.010000,1.4591,0,0,9,9,8,8,0,0,brake_pct=0; abs_active=False; wheel_speeds=[9,9,8,8],NORMAL
1000000.200000,160,0x0A0,Brake/ABS ECU,6,00000A0A0909,0.010000,0.010000,1.4591,0,0,10,10,9,9,0,0,brake_pct=0; abs_active=False; wheel_speeds=[10,10,9,9],NORMAL
1000000.200000,272,0x110,Engine RPM ECU,4,06AB3701,0.020000,0.000000,2.0000,6,171,55,1,0,0,0,0,rpm=1707; throttle_pct=55; engine_status=RUNNING,NORMAL
1000000.200000,288,0x120,Speedometer ECU,4,03E8004A,0.050000,0.000000,1.5000,3,232,0,74,0,0,0,0,speed_kmh=10.0,NORMAL
1000000.200000,384,0x180,Transmission ECU,5,0100C10100,0.050000,0.000000,1.3710,1,0,193,1,0,0,0,0,gear=G1; torque_nm=193; clutch=ENGAGED,NORMAL
1000000.200000,304,0x130,Coolant/Oil Temp ECU,3,554200,0.100000,0.000000,1.5850,85,66,0,0,0,0,0,0,coolant_temp_c=45; oil_pressure_bar=6.6,NORMAL
1000000.200000,560,0x230,Body Doors ECU,4,FF000100,0.100000,0.000000,1.5000,255,0,1,0,0,0,0,0,doors_locked=True; driver_seatbelt=True,NORMAL
1000000.200000,624,0x270,Lighting/Signals ECU,2,0100,0.100000,0.000000,1.0000,1,0,0,0,0,0,0,0,headlights=ON; turn_signal=NONE,NORMAL
1000000.200000,576,0x240,Climate/HVAC ECU,4,16150301,0.200000,0.000000,2.0000,22,21,3,1,0,0,0,0,target_temp_c=22; ambient_temp_c=21; fan_speed=3; ac_on=True,NORMAL
